531.587728860627,253488
531.592822005013,252668
531.597915065093,248425
531.603008040862,250615
531.608100932316,249280
531.613193739449,257507
531.618286462257,256893
531.623379100736,231738
531.62847165488,247035
531.633564124685,273143
531.638656510146,242480
531.643748811259,228000
531.648841028018,240282
531.653933160418,267690
531.659025208456,256470
531.664117172126,251636
531.669209051424,262573
531.674300846345,250235
531.679392556883,257104
531.684484183035,296521
531.689575724796,276513
531.694667182161,252071
531.699758555125,257153
531.704849843683,258272
531.709941047831,256740
531.715032167563,261488
531.720123202876,265268
531.725214153765,273391
531.730305020224,260675
531.735395802249,251399
531.740486499835,248076
531.745577112978,248384
531.750667641673,272097
531.755758085915,279396
531.760848445699,254744
531.76593872102,247958
531.771028911874,266327
531.776119018257,273048
531.781209040162,246221
531.786298977587,231793
531.791388830525,213830
531.796478598972,214797
531.801568282924,223107
531.806657882375,243987
531.811747397321,252729
531.816836827758,219996
531.82192617368,216809
531.827015435082,233581
531.832104611961,258824
531.83719370431,275038
531.842282712127,255940
531.847371635405,238264
531.85246047414,252289
531.857549228327,265514
531.862637897962,247634
531.86772648304,262368
531.872814983556,284055
531.877903399505,267368
531.882991730883,246711
531.888079977685,248433
531.893168139906,260298
531.898256217542,266486
531.903344210587,271071
531.908432119037,264113
531.913519942888,261896
531.918607682134,258799
531.92369533677,235839
531.928782906793,217187
531.933870392197,240782
531.938957792978,243889
531.944045109131,229993
531.94913234065,226225
531.954219487532,218461
531.959306549772,199734
531.964393527365,220802
531.969480420306,232863
531.974567228591,198616
531.979653952214,184743
531.984740591171,186767
531.989827145458,186586
531.994913615069,182977
532,188968
532.005086300246,183214
532.010172515803,169618
532.015258646665,172155
532.020344692828,157989
532.025430654287,142475
532.030516531038,145484
532.035602323076,157051
532.040688030396,154116
532.045773652993,143966
532.050859190862,141656
532.055944644,143699
532.0610300124,155091
532.066115296059,155643
532.071200494972,164518
532.076285609134,166835
532.08137063854,166622
532.086455583185,151817
532.091540443065,153319
532.096625218176,134059
532.101709908511,94405
532.106794514067,67958
532.11187903484,47746
532.116963470823,34715
532.122047822013,23831
532.127132088404,22364
532.132216269993,23934
532.137300366774,22978
532.142384378742,29488
532.147468305893,37790
532.152552148223,38090
532.157635905726,34988
532.162719578397,61271
532.167803166233,67827
532.172886669227,71134
532.177970087377,79922
532.183053420675,86775
532.18813666912,95016
532.193219832704,121774
532.198302911424,120139
532.203385905275,122091
532.208468814253,134133
532.213551638351,138440
532.218634377567,149995
532.223717031894,155170
532.228799601329,151913
532.233882085867,173214
532.238964485502,175295
532.244046800231,181985
532.249129030048,200363
532.254211174949,215622
532.259293234929,233603
532.264375209983,221796
532.269457100107,218423
532.274538905296,245544
532.279620625545,246265
532.284702260849,264044
532.289783811204,258941
532.294865276605,235029
532.299946657048,219185
532.305027952527,217217
532.310109163038,217631
532.315190288576,231361
532.320271329136,256488
532.325352284714,239859
532.330433155306,245162
532.335513940905,241135
532.340594641509,271494
532.345675257111,274517
532.350755787707,267723
532.355836233293,235957
532.360916593864,245817
532.365996869414,258425
532.37107705994,257889
532.376157165436,245164
532.381237185899,270825
532.386317121323,284857
532.391396971703,278752
532.396476737035,258796
532.401556417313,246874
532.406636012535,241014
532.411715522694,245121
532.416794947786,257713
532.421874287806,268506
532.42695354275,277977
532.432032712612,280174
532.437111797389,280800
532.442190797074,264175
532.447269711665,263343
532.452348541156,254271
532.457427285542,248147
532.462505944818,236060
532.46758451898,249419
532.472663008024,249897
532.477741411944,251099
532.482819730735,236536
532.487897964394,241708
532.492976112915,245922
532.498054176294,224259
532.503132154525,239018
532.508210047605,246929
532.513287855528,252032
532.51836557829,239196
532.523443215886,222514
532.528520768311,203754
532.533598235561,211704
532.538675617632,206779
532.543752914517,200128
532.548830126213,215261
532.553907252715,218721
532.558984294018,224433
532.564061250117,222058
532.569138121008,241743
532.574214906687,226361
532.579291607147,195655
532.584368222385,249674
532.589444752396,284301
532.594521197176,266259
532.599597556719,270382
532.60467383102,271141
532.609750020076,250170
532.614826123882,232590
532.619902142432,256079
532.624978075722,233606
532.630053923747,241140
532.635129686503,246601
532.640205363985,219909
532.645280956188,226050
532.650356463108,226973
532.65543188474,244460
532.660507221078,240706
532.66558247212,246337
532.670657637859,243761
532.675732718291,236525
532.680807713411,234070
532.685882623215,237257
532.690957447698,221326
532.696032186855,229184
532.701106840681,227511
532.706181409173,231023
532.711255892325,228808
532.716330290132,234300
532.72140460259,218893
532.726478829694,219278
532.731552971439,215851
532.736627027821,232479
532.741700998835,223303
532.746774884476,225769
532.75184868474,224756
532.756922399622,239949
